id,difficulty,besteffort,interupted,comment,participant,task,taskresult,task_id,participant_age,participant_experienced,taskresult_totaltime,taskresult_totalcorrect,taskresult_geomtime,taskresult_metatime,taskresult_geomcorrect,taskresult_metacorrect
575,4,True,False,b'',"id: 455, experienced: True, age: 41","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 10:17:17.719209+00:00",2,41,True,52,8,23,29,3,5
587,1,True,False,b'',"id: 477, experienced: False, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 10:33:49.604590+00:00",1,24,False,47,9,25,22,4,5
734,4,False,False,b'',"id: 561, experienced: False, age: 21","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-07 15:09:02.655203+00:00",3,21,False,46,9,27,19,5,4
584,1,True,False,b'',"id: 477, experienced: False, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 10:31:23.738558+00:00",3,24,False,38,11,27,11,6,5
639,1,True,False,b'',"id: 513, experienced: False, age: 25","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 12:55:37.137227+00:00",3,25,False,59,11,29,30,6,5
370,1,True,False,b'',"id: 350, experienced: True, age: 34","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 18:38:23.543983+00:00",1,34,True,57,12,32,25,6,6
340,3,False,False,b'',"id: 308, experienced: True, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 16:09:46.255116+00:00",3,24,True,53,7,32,21,3,4
775,4,True,False,b'',"id: 584, experienced: False, age: 21","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 09:25:40.685539+00:00",2,21,False,63,7,33,30,3,4
227,1,True,False,b'',"id: 232, experienced: True, age: 22","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 07:20:00.761070+00:00",2,22,True,53,7,35,18,5,2
202,1,True,False,b'',"id: 221, experienced: True, age: 23","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 10:30:03.899857+00:00",2,23,True,52,12,36,16,6,6
409,2,True,False,b'',"id: 308, experienced: True, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 21:10:23.597258+00:00",1,24,True,68,10,37,31,4,6
538,3,True,False,b'',"id: 459, experienced: True, age: 51","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 07:34:48.459047+00:00",3,51,True,100,8,37,63,5,3
585,1,True,False,b'',"id: 477, experienced: False, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 10:32:29.805657+00:00",2,24,False,50,8,37,13,4,4
540,3,True,False,b'',"id: 459, experienced: True, age: 51","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 07:37:11.983314+00:00",1,51,True,104,7,38,66,2,5
541,3,True,False,b'',"id: 459, experienced: True, age: 51","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 07:39:39.615576+00:00",2,51,True,129,5,39,90,2,3
647,1,True,False,b'',"id: 516, experienced: False, age: 45","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 13:18:58.198327+00:00",1,45,False,77,11,39,38,6,5
230,3,True,False,b'',"id: 230, experienced: True, age: 29","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 07:22:29.692708+00:00",3,29,True,71,11,39,32,6,5
637,1,True,False,b'',"id: 513, experienced: False, age: 25","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 12:52:28.643281+00:00",2,25,False,77,7,41,36,2,5
815,4,True,False,b'would be great to be able to center the map on not-yet-processes buildings',"id: 596, experienced: True, age: 33","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-08 22:07:38.431468+00:00",3,33,True,91,8,42,49,3,5
645,2,True,False,b'',"id: 516, experienced: False, age: 45","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 13:15:17.494697+00:00",3,45,False,107,7,43,64,4,3
726,2,False,False,b'',"id: 559, experienced: False, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-07 11:43:08.927215+00:00",1,22,False,91,10,43,48,4,6
229,1,True,False,b'',"id: 232, experienced: True, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 07:21:46.638897+00:00",1,22,True,72,7,43,29,4,3
684,2,True,False,b'',"id: 538, experienced: True, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 20:13:39.974457+00:00",2,24,True,89,6,44,45,2,4
700,1,True,False,b'',"id: 548, experienced: True, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-06 10:19:04.700384+00:00",1,22,True,74,10,45,29,4,6
212,1,True,False,b'',"id: 226, experienced: False, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-02 11:19:54.909790+00:00",1,24,False,92,11,45,47,5,6
226,2,True,False,b'',"id: 232, experienced: True, age: 22","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 07:18:50.394485+00:00",3,22,True,84,8,45,39,4,4
458,1,True,False,b'',"id: 421, experienced: False, age: 22","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 10:11:33.942502+00:00",3,22,False,81,10,45,36,4,6
209,2,True,False,b'',"id: 225, experienced: True, age: 25","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-02 10:51:34.949623+00:00",1,25,True,79,12,45,34,6,6
814,3,True,False,b'',"id: 596, experienced: True, age: 33","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 22:05:51.272591+00:00",1,33,True,79,9,46,33,3,6
213,1,True,False,b'',"id: 226, experienced: False, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 11:21:25.673254+00:00",2,24,False,74,8,46,28,3,5
816,3,True,False,b'',"id: 596, experienced: True, age: 33","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 22:09:31.573486+00:00",2,33,True,74,10,46,28,4,6
