id,date,taskorder,tasknumber,taskordernumber,geomtasktime,metatasktime,totaltime,correctgeom,correctmetadata,total_correct_elements,correct_buildings_geom,correct_buildings_meta,participant,task,participant_age,task_id
163,2017-05-02 09:39:35.584243+00:00,"[4, 2, 3, 1]",2,1,116,268,384,5,6,11,"[10, 11, 12, 13, 14]","[9, 10, 11, 12, 13, 14]","id: 210, experienced: False, age: 23","id: 2, title: Building geometry and metadata",23,2
171,2017-05-02 09:51:55.812117+00:00,"[4, 1, 3, 2]",2,3,75,62,137,5,5,10,"[1, 3, 4, 5, 6]","[1, 3, 4, 5, 6]","id: 215, experienced: False, age: 25","id: 2, title: Building geometry and metadata",25,2
174,2017-05-02 09:56:48.185404+00:00,"[4, 3, 2, 1]",2,2,93,42,135,4,4,8,"[15, 16, 17, 19]","[15, 17, 18, 20]","id: 219, experienced: False, age: 24","id: 2, title: Building geometry and metadata",24,2
176,2017-05-02 09:59:30.391124+00:00,"[4, 1, 2, 3]",2,2,46,36,82,3,6,9,"[9, 11, 12]","[9, 10, 11, 12, 13, 14]","id: 220, experienced: False, age: 25","id: 2, title: Building geometry and metadata",25,2
185,2017-05-02 10:46:27.202826+00:00,"[4, 2, 3, 1]",2,1,102,44,146,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 224, experienced: False, age: 24","id: 2, title: Building geometry and metadata",24,2
193,2017-05-02 11:21:25.673254+00:00,"[4, 1, 2, 3]",2,2,46,28,74,3,5,8,"[10, 11, 12]","[9, 10, 12, 13, 14]","id: 226, experienced: False, age: 24","id: 2, title: Building geometry and metadata",24,2
197,2017-05-02 11:52:56.103682+00:00,"[4, 1, 2, 3]",2,2,76,81,157,5,4,9,"[15, 17, 18, 19, 20]","[15, 17, 18, 20]","id: 209, experienced: False, age: 24","id: 2, title: Building geometry and metadata",24,2
202,2017-05-02 13:49:39.140250+00:00,"[4, 1, 3, 2]",2,3,61,36,97,5,3,8,"[2, 3, 4, 5, 6]","[1, 4, 5]","id: 227, experienced: False, age: 30","id: 2, title: Building geometry and metadata",30,2
217,2017-05-03 07:55:23.492859+00:00,"[4, 2, 1, 3]",2,1,167,147,314,5,5,10,"[1, 2, 3, 5, 6]","[1, 2, 3, 4, 5]","id: 235, experienced: False, age: 24","id: 2, title: Building geometry and metadata",24,2
233,2017-05-03 09:15:45.110363+00:00,"[4, 3, 2, 1]",2,2,693,62,755,3,5,8,"[15, 17, 19]","[15, 17, 18, 19, 20]","id: 244, experienced: False, age: 27","id: 2, title: Building geometry and metadata",27,2
234,2017-05-03 09:16:13.243865+00:00,"[4, 3, 1, 2]",2,3,223,49,272,5,6,11,"[1, 2, 3, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 243, experienced: False, age: 54","id: 2, title: Building geometry and metadata",54,2
240,2017-05-03 09:54:33.693510+00:00,"[4, 2, 3, 1]",2,1,101,53,154,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 248, experienced: False, age: 24","id: 2, title: Building geometry and metadata",24,2
258,2017-05-03 11:22:09.805179+00:00,"[4, 2, 3, 1]",2,1,138,105,243,6,4,10,"[1, 2, 3, 4, 5, 6]","[1, 3, 4, 5]","id: 261, experienced: False, age: 24","id: 2, title: Building geometry and metadata",24,2
261,2017-05-03 11:26:01.143652+00:00,"[4, 1, 2, 3]",2,2,92,100,192,5,4,9,"[15, 16, 17, 19, 20]","[15, 16, 19, 20]","id: 263, experienced: False, age: 24","id: 2, title: Building geometry and metadata",24,2
267,2017-05-03 11:36:28.463463+00:00,"[4, 2, 1, 3]",2,1,97,61,158,5,4,9,"[2, 3, 4, 5, 6]","[1, 3, 4, 5]","id: 264, experienced: False, age: 25","id: 2, title: Building geometry and metadata",25,2
